Date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Виробництво харчових продуктів,Виробництво напоїв,Виробництво іншої неметалевої мінеральної продукції,"Виробництво машин і устатковання, н.в.і.у.","Виробництво автотранспортних засобів, причепів і напівпричепів",Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Допоміжна діяльність у сферах фінансових послуг і страхування,"Оренда, прокат і лізинг",Діяльність охоронних служб та проведення розслідувань,Обслуговування будинків і територій,Охорона здоров'я,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку",Операції з нерухомим майном,"Діяльність у сфері спорту, організування відпочинку та розваг",Виробництво хімічних речовин і хімічної продукції,Надання інформаційних послуг,Лісове господарство та лісозаготівлі,Виробництво гумових і пластмасових виробів,Наземний і трубопровідний транспорт,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Рибне господарство,Спеціалізовані будівельні роботи,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Складське господарство та допоміжна діяльність у сфері транспорту
2020-12-01,132763.79664,68314.1278,24365.94835,78156.24447,121684.54908,16743.97397,14769.66551,110.50255,286.78927,251167.8427,215026.10033,4318.13587,12820.67684,501071.13908,299.98444,18609.69988,1363.39316,27034.83273,24228.36928,798.47148,,41.83365,236721.91874,,1575.56636,,,,,,,,,,,
2021-02-01,169162.09527,67660.59828,24449.76032,77843.30118,93185.29926,17222.2675,10262.82305,173.75307,136.7219,217724.92355,22028.92974,3764.97753,13121.4077,454738.11397,449.98444,16489.81903,2948.26691,26765.75186,23219.85444,771.3802,4985.68619,40.51492,238691.33759,42.42263,1391.84897,,,,,381.0503,,,,,,
2021-03-01,169007.94294,70007.91182,24365.81135,77558.68821,121261.55619,,13280.08361,216.99197,,300065.1926,38343.50498,3816.31836,14949.47435,524121.0098,1948.75146,16982.19981,4457.77107,26750.52045,12123.53932,556.44556,11749.719,29.45833,239581.96926,,449.00343,,,,,131.44513,,,,,,
2021-04-01,64513.98595,74399.43899,24365.83511,77532.22034,117486.62884,,,186.46463,,299945.14536,39862.99324,3863.99201,16787.69203,504209.49615,2242.63077,16066.48209,9501.62108,28290.17204,11625.14729,711.69121,10338.95389,37.2052,240568.02575,219.57712,,,,,,627.58736,1316.64814,,,,,
2021-05-01,167261.16162,78654.91735,24365.86351,80421.23921,121589.08835,557.91199,,8.89644,53.33212,313163.5036,73983.94505,3919.00004,18403.59296,558888.40331,3746.70887,15179.84415,2995.05223,28263.90956,11126.69589,,11904.76448,,241522.27397,,,23265.74194,,,98.5815,656.67872,1862.80498,,,,,
2021-06-01,165996.3964,80854.40652,24365.8923,80276.57986,116296.84097,,,,59.05928,293785.12012,72631.71557,3768.97753,15607.7797,509798.46507,4001.84162,14452.45501,3028.60179,28307.27458,54378.20677,944.08213,11819.20146,68.94651,242508.33046,1386.83,,31932.2223,,976.82516,701.24363,659.59026,1831.63968,,,,,
2021-07-01,96921.5509,84869.0626,24365.92279,3028.59055,100194.93717,73.47469,,,292.9783,464900.23788,73845.20041,,14396.05376,478979.57055,4709.69214,13844.69207,9300.41248,28165.43174,54154.30918,815.89504,10861.71726,,243462.57868,1066.83,929.29806,49454.89557,,995.18591,701.24363,2649.9014,1852.48598,,,,,
2021-08-01,29575.37,87977.58983,25086.28007,3474.14358,107849.09031,,,,299.46827,454072.81257,72879.40042,,18984.97137,489173.34606,3468.63117,12699.84299,3709.75515,13527.72052,52985.55247,1009.06754,8803.36693,,244448.63518,834.87724,725.15763,60726.05417,115.44164,984.24688,701.24363,2690.30615,1770.87468,,4184.47344,,,
2021-09-01,122426.61386,87753.52967,24998.94835,3746.54968,115354.58771,,,93.28587,237.9082,364642.6327,67614.02289,,13742.67593,567962.25191,747.29703,10347.4014,2599.62525,13415.71803,53055.83213,569.54801,10896.99688,,245434.69167,741.74968,,56775.48407,197.78959,1009.45768,701.24363,2641.5874,1696.434,5000.0,4446.98764,,,
2021-10-01,89487.55084,22785.0274,24998.94835,3220.90691,116236.78059,,,,71.17917,476056.3166,71280.56889,,18563.42137,546886.35679,10891.27774,9310.31882,8947.60149,13261.76424,52274.94699,852.42125,8588.90266,,246388.93989,666.74968,,108551.698,319.32534,,709.34156,1984.45914,1823.95149,5000.95891,2450.39991,,,
