Date,Виробництво харчових продуктів,Виробництво напоїв,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Телекомунікації (електрозв'язок),Діяльність у сферах права та бухгалтерського обліку,Діяльність головних управлінь (хед-офісів); консультування з питань керування,"Оренда, прокат і лізинг",Виробництво гумових і пластмасових виробів,"Постачання електроенергії, газу, пари та кондиційованого повітря","Сільське господарство, мисливство та надання пов'язаних із ними послуг",Текстильне виробництво,Виробництво іншої неметалевої мінеральної продукції,Операції з нерухомим майном
2020-02-01,375849.25845,388375.89139,112023.40684,217297.24114,300887.63609,4673679.51447,200047.5294,1739351.24723,27443.13854,33630.30627,93764.58181,,,,,,
2020-03-01,240498.79843,691274.06614,100351.66089,215235.11534,298017.93047,4313579.8768,200132.69926,1835497.8326,27034.79594,35718.01691,92976.63281,,,,,,
2020-04-01,290576.92482,717920.80297,123718.20787,247211.51503,342275.55848,3648325.71564,85032.51366,1335737.84469,11535.87862,12411.99008,115735.91619,,,,,,
2020-05-01,341401.108,703226.82023,100549.65867,238817.80144,330637.98305,3687917.08458,230114.01648,1336944.7146,,11725.4883,116472.62039,,50215.33556,,,,
2020-06-01,674350.72729,706094.71491,101777.53557,239484.78674,331544.8992,3692358.12474,250222.71299,1288469.35241,,26701.20711,121640.44305,,,,,,
2020-07-01,300270.1926,707395.77748,95385.10779,238779.82498,330553.1755,3426936.23433,200032.78689,1288142.73099,,31501.74213,136456.17725,,,,,,
2020-08-01,470182.05339,528381.42602,96185.95142,249000.80512,344685.69863,3511100.61969,200037.42512,1088217.87766,,31015.09831,164944.93331,2115.83979,,,,,
2020-09-01,265291.43444,512906.42246,95446.06369,248337.29396,343750.61425,4185147.05894,200034.42623,1360529.29689,,35566.63878,180319.0139,,196159.40316,,,,
2020-10-01,383416.00487,621724.6798,96194.16235,257045.07645,355787.5385,3467645.02802,200034.42623,1365545.46999,,56551.97775,193989.223,0.46892,135890.72916,,,,
2020-11-01,345798.54835,712987.31217,95470.97508,259629.25004,359347.39708,3337773.29796,220076.93301,1366662.2141,2499.62032,61763.33913,195500.98479,,,,,,
2020-12-01,228825.62589,715650.59051,96219.37841,261178.1053,361474.73912,3598491.50711,250043.03279,1366499.32094,7471.50525,45981.20094,191337.45127,0.07871,,,,,
2021-02-01,1602090.85642,704503.83364,96296.47929,261266.50676,361563.69466,3092452.02282,30014.05479,973441.79537,7527.70034,37769.06219,187102.61341,,,,,,
2021-03-01,1554623.14356,706588.99374,95481.70655,260000.26609,359796.56793,3356765.0426,,977558.59413,7548.18033,34438.70724,184620.31165,,,,,,
2021-04-01,924405.85134,922396.86224,96233.18325,260874.63325,360990.26895,2733399.01455,,829907.32686,11454.96754,29648.26209,179884.06219,,,,11462.05869,,
2021-05-01,1618270.4583,922503.4341,95558.30588,260854.38311,360946.65065,2322785.16893,,759769.04801,,,179388.43929,5829.58041,,83275.39791,11784.75286,,
2021-06-01,1541671.38376,923546.03125,96350.58315,,,2515105.68148,,761455.77688,,12698.2866,180200.10379,,202169.1194,82682.59154,5013.44276,,
2021-07-01,1319471.10347,325814.40498,95568.69863,,,2339511.61884,,754667.30398,,16182.16297,176144.04075,,203169.97779,,,,
2021-08-01,1513198.61407,325745.75126,95786.5219,,,2631351.62115,50277.36381,759890.25191,,16017.40501,169672.46039,,204348.22384,,,,
2021-09-01,1636911.86415,325751.28672,96579.55556,,,3613870.38483,50279.42662,761457.4195,,18091.15832,173351.0909,,205586.77999,,,,
2021-10-01,712747.80786,325795.61952,95597.74978,,,3447683.86467,,754545.55842,,27918.87235,201631.58028,,130512.92314,,,,
2021-11-01,591457.28351,326028.95375,96487.0232,,,3264335.34907,,759767.63313,44614.65858,34489.84624,180351.00208,,115094.50145,,,,
2021-12-01,2054421.49489,563498.58175,95614.78267,,,3222247.0959,,761164.54452,11314.59699,31284.80845,178631.2043,,60456.51977,,,,
2022-01-01,2328191.60397,561368.39707,96487.82606,,,2895923.64481,,754673.83756,,8617.09581,177010.18078,,,,,,
2022-02-01,1909380.55057,561106.4139,95654.71183,,,2449943.3199,,759896.80437,,16684.05243,181948.34974,,,,,23006.14384,
2022-03-01,2349484.64688,561007.69842,96494.51124,,,3034313.21967,250777.36662,580241.52371,,14945.89247,179812.87772,0.0031,,,,290341.49688,
2022-06-01,2303590.76677,562316.24256,45403.55108,,,2896479.01057,250408.19052,571541.67742,,,176968.67803,,,,,220867.80361,
2022-07-01,2598496.9853,562109.14256,45816.78082,,,2851309.93406,296864.59491,573100.0551,,11398.15054,169713.73368,,,,,30147.38801,
2022-08-01,2714682.78962,563088.93656,25467.12329,,,3388968.08648,354870.26828,571958.3168,,13721.86681,177381.27974,,,,,,
2022-09-01,2908448.60987,563316.27515,25477.73973,,,3492329.07832,354920.85747,574200.1483,,13616.1807,167462.52799,,,,,30105.01163,
2022-10-01,2631893.96125,563053.77305,25015.45247,,,2611988.98159,352415.97172,570468.1017,,30992.89691,162860.0184,,,,,,
2022-11-01,3374675.6508,563690.72018,25061.8672,,,2786895.40804,350200.69681,577098.25488,,31820.86496,161119.5892,,,,,,
2022-12-01,3466113.75402,563355.23902,24088.171,,,2193787.11894,352012.15475,583522.85625,,33243.11648,162128.17869,,,,,,
2023-01-01,3262479.17781,563658.48532,24129.45432,,,2909475.99785,353440.58417,571890.22473,,18345.19924,153690.21042,,,,,,
2023-02-01,3305944.42422,563991.00395,,,,2729789.2084,354706.88832,573484.22724,,21219.71229,154127.004,,,,,,
2023-03-01,3407754.24856,562993.23947,,,,3329091.10619,351143.11678,716629.07072,,19379.86827,145973.22604,,,,,,
2023-04-01,2661763.07487,563966.25361,,,,3522870.00829,353056.61405,715813.27468,,9605.0689,145507.18431,,,,,,
2023-05-01,2630542.01535,566766.0274,,,,3022491.86473,350737.7805,722225.87082,,,145787.50719,,,,,,
2023-06-01,2660496.35179,563135.56814,,,,3536264.55973,354663.53699,723480.42049,,13753.38814,142418.0051,,,,,,
2023-07-01,2584254.50343,401006.18952,,,,3389730.55482,451539.70741,716728.42852,,40038.58257,140580.34229,,,,,,
2023-08-01,2470049.45262,402792.32877,,,,3457795.02983,254384.68845,716556.47691,,38383.3155,136396.0415,,,,,,
2023-09-01,2167980.41819,406081.09589,,,,3216980.11231,341905.23017,725936.24435,,55992.54488,131366.11063,,,,,,
2023-10-01,2299183.81254,401694.45225,,,,3245113.84281,397547.50743,735130.60375,,62265.03412,126483.58733,,,,,,
2023-11-01,2469447.41306,400920.12482,,,,3221715.73529,154620.97017,715506.18012,,50768.7705,126965.11457,,,,,,
2023-12-01,2284038.35265,401250.41096,,,,3149059.45927,220672.07975,717788.43606,,34640.3254,126149.87898,,,,,,
2024-01-01,2445002.37889,400961.45319,,,,2413589.66001,320575.24001,716860.7909,,,126115.72762,,,,,,
2024-02-01,2487496.01482,,,,,3404556.22213,250081.69963,725137.11013,,,125894.2749,,,,,,
2024-03-01,2682371.58418,,,,,3877179.76088,154149.68795,732966.09662,,,125908.64263,,,,,,
2024-04-01,2664671.02737,,,,,3836689.1432,450979.00425,716746.7396,,,96431.31928,,,,,,
2024-05-01,2711284.80036,,,,,3453169.41263,452172.07726,724281.37646,,,96474.26642,,,,,,
2024-06-01,2792769.55007,,,,,4170674.32513,410561.9773,732150.64157,,,96572.61134,,,,,,100093.5431
