Date,00,01,02,03,06,08,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,38,41,42,43,45,46,47,49,52,55,56,58,59,61,62,63,66,68,69,70,71,72,73,74,77,78,79,80,81,82,85,86,90,93,94,95,96,88,60,87,91,09,64,39,53,36
2020-02-01,0.00077,75400.67875,0.00085,180.88946,0.1475,0,24739.68092,143.15113,0.0,50800.67345,0.0,8344.1718,1623.92439,572.64145,0.0065,1389.18435,0,63804.41351,133.89492,29.93741,1196.37914,1613.18617,0.0,12136.28489,0.00088,0.0,780.27602,127.90558,81.26217,1364.8488,214.28311,3056.55825,222.76906,5658.08432,3270.41303,52532.09943,5669.79658,12891.09022,610.51592,80.22883,1191.80476,55.63165,0.0,0.00462,13245.24867,0.15219,0.0,113151.80032,188.54927,0.00024,97.68973,0.10891,172.01043,70.28488,241.05042,0.10022,18.93274,261.34478,481.7706,0.0,0.0,0.12447,0.0,387.14669,0.00238,37771.74819,0.00012,,,,,,,,,
2020-03-01,0.00077,92354.02737,9.62737,180.62874,0.1475,0,24416.23568,0.0,0.0,50339.64196,0.0,7918.01437,2443.90386,553.66195,0.00103,1342.38744,0,60375.0187,575.44254,46.45007,1250.65866,1644.3196,98.47398,11233.87608,0.00088,0.04157,685.40415,126.06498,318.84842,0.0,171.43445,2958.61439,308.13142,5848.12615,4455.22136,55602.92825,8556.71559,8575.14705,698.96934,93.26401,1057.41601,1554.93047,49.56722,0.14387,12781.2107,41.7186,,111087.53714,181.55184,70.94378,233.97135,1266.78367,271.29955,74.66044,271.22193,0.19795,19.53078,375.05585,12241.21258,75.34232,0.00028,0.12875,0.13828,483.11122,0.00242,37081.01935,79.45788,,,,,,0.0,,,
2020-04-01,0.00077,93688.36483,1.32036,177.69449,0.1475,0,24623.56479,0.0,0.0,57757.27965,0.0,9140.28992,72.38102,825.34847,0.00145,1410.97096,0,69520.43194,418.10446,34.78334,1230.07143,1677.60016,24.00123,9344.08903,0.00088,0.03967,460.95662,144.0321,350.07224,0.0,183.63313,2666.86694,219.35866,3951.90616,4533.58063,61273.2638,7072.72389,7398.20592,849.21725,78.21902,1075.61044,1731.21335,45.50304,0.01038,15356.72574,8.1631,0.1128,121717.24036,192.58762,115.29298,190.09239,1455.93433,291.01562,58.02095,260.35872,0.07157,20.08841,397.66386,11608.57051,0.0,0.0,0.17666,0.26343,415.89538,0.01559,42641.58453,97.31433,,,,,,,,,
2020-05-01,0.00077,91497.63361,1.23469,177.57581,0.1475,0,22621.3091,0.0,0.0,54795.82229,0.0,8069.22059,767.40231,777.59779,0.00145,1167.98179,0,65480.36938,423.90643,22.66209,677.02739,1694.80714,54.47547,8758.11454,0.00088,0.0,355.7457,0.0,275.6881,0.0,206.46222,877.51184,95.65227,4044.96946,3045.08682,54315.59149,7074.7174,9204.88412,348.49294,98.1833,1508.62528,1685.69921,0.0,0.0,15322.94299,0.16361,0.0,74619.82785,160.68121,0.0,99.43478,1386.94172,44.00696,41.8916,203.55757,0.02747,20.32486,308.26558,10184.24564,0.0,0.0,0.17571,0.0,343.75548,0.01603,39559.63793,0.0,,,,,,,,,
2020-06-01,0.00077,89561.06499,1.26522,177.46965,0.1475,0,17153.18924,0.0,0.0,55014.20081,0.0,8244.36289,2389.11987,789.82839,0.00145,927.87944,0,66599.17301,298.64386,15.44393,592.94561,1626.43249,0.0,8762.82766,0.15676,0.0,365.11121,0.0,55.04793,0.0,722.23376,880.58746,55.89505,2712.01599,2004.09306,55375.81976,6410.51852,21296.84454,378.11596,99.15766,1505.12683,1657.94363,0.0,0.0,16831.3369,0.16826,,69498.77868,126.31547,0.0,0.04037,1350.90485,188.51733,0.78274,166.77267,0.02747,20.80437,265.22911,10550.18991,0.0,0.0,0.17915,0.0,350.86672,0.01649,40503.47914,0.0,0.0,,,,,,,,
2020-07-01,0.00077,99380.39394,1.29477,179.04541,0.1475,0,16955.17698,0.0,3.93357,54925.51052,0.0,1511.90706,1984.06018,754.16905,0.00145,1353.21248,0,67615.40658,2826.75145,43.95754,635.60026,1657.85635,0.0,8792.0674,0.16119,0.0,149.04782,0.0,0.64308,0.0,693.02915,792.38736,144.85995,2177.63869,2289.55004,55785.22784,6009.11853,20573.53019,347.62928,89.03229,1477.54841,1440.01664,47.87467,0.0,15627.08582,0.17249,,68053.22986,33.3451,0.0,97.60189,1349.67049,197.15389,49.45442,138.4187,3.34783,21.99121,279.55905,9036.77504,0.0,0.0,0.18248,0.0,357.74856,0.00154,40770.31429,0.0,,,,,,,,,
2020-08-01,0.00077,92504.05755,1.3253,180.67135,0.1475,0,21610.94566,0.0,0.0,57354.21935,0.0,3883.5834,1496.49079,749.38315,0.00145,567.29248,0,73719.61807,2500.09852,68.24329,636.86553,1688.7092,97.98373,8729.15651,0.01431,0.0,37.5279,0.0,107.0807,0.0,626.9089,861.40553,351.14818,2010.7817,2031.49563,55819.66617,5904.45534,20011.80078,343.08226,61.36353,1346.80276,1318.31819,40.99077,0.0,18894.32704,0.18422,0.0,68792.059,34.11626,2582.28333,162.55307,1387.85217,195.32951,95.83244,0.0,3.44742,0.74239,351.27129,8082.04537,0.0,0.0,0.18592,0.0,364.8598,0.00155,44338.80803,0.0,,,,,,,,,
2020-09-01,0.00077,102249.32421,1.35583,181.41941,0.1475,0,15207.49984,0.0,0.0,57277.94013,0.0,3501.87235,2019.25547,733.41519,0.0,569.2196,0,74480.21951,2334.99422,94.57543,638.20011,,0.0,8575.19691,0.01462,0.0,0.25306,0.0,112.34248,0.0,606.6843,785.60875,454.62761,1917.9445,2155.88714,55905.9322,6515.24886,21137.41461,335.74518,87.8787,1241.26985,1172.72911,35.32271,0.0,18136.75817,0.18881,0.0,67378.57874,78.99029,2536.74672,64.77392,1365.56699,198.79143,96.5861,0.0,0.17846,0.76198,268.95145,9491.63703,0.0,0.0,0.1898,0.0,293.7753,0.00156,44815.46096,0.0,,,,,0.0,,,,
2020-10-01,0.00077,99105.56036,1.38538,181.044,0.1475,0,14569.0225,0.0,0.0,59402.95359,0.0,2915.20778,2020.27689,714.9893,0.0,1033.08255,0,75723.40596,2204.71861,93.34408,46.08881,0.0,85.30629,8295.71676,0.01492,0.0,0.05656,0.0,21.52087,0.0,586.89571,779.96688,190.90479,1599.89901,1381.01742,58375.84908,5879.2619,20656.82415,356.77958,75.05715,1079.64707,1206.60726,30.48633,0.0,18187.95613,0.19326,0.0,68005.24623,46.66332,2493.7747,102.31034,1394.20896,202.22899,81.62522,0.0,7.50235,0.78094,260.38559,10641.98503,0.0,5.80744,202.13187,0.0,131.69609,0.00157,45381.09899,0.0,,,,,0.0,,,,
